login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
AlexGyver,AlexGyver/autoHumidifier,2017-11-02T06:58:55Z,23,23,C++,True,True,
carlcastanas,carlcastanas/design-resources-for-developers,2022-06-04T13:20:57Z,5,5,,True,True,apache-2.0
sergeyshaykhullin,sergeyshaykhullin/Hangfire.Atoms,2020-06-21T11:47:06Z,14,14,C#,True,True,mit
alexey-goloburdin,alexey-goloburdin/debian-set-up-for-php,2019-09-02T01:10:59Z,29,29,,True,True,
richardroberti,richardroberti/bmi,2023-02-26T22:20:42Z,10,10,Python,True,True,
ksemaev,ksemaev/lpic_1-102,2017-08-21T09:42:18Z,177,177,,True,True,
Robi2810,Robi2810/CampusTravel,2022-03-14T21:15:11Z,1,1,,True,True,
yandex,yandex/csp-tester,2013-07-13T21:10:13Z,56,56,JavaScript,True,True,gpl-2.0
PHPTCloud,PHPTCloud/microservices-template,2022-05-07T09:58:09Z,7,7,PHP,True,True,
tkhirianov,tkhirianov/wolfarab-0.0.5,2013-02-24T20:10:12Z,2,2,,True,True,
esokolov,esokolov/opt-microarray,2012-06-06T10:54:38Z,7,7,Matlab,True,True,
Good4lien,Good4lien/Blog,2019-08-13T01:41:19Z,72,72,JavaScript,True,True,
yandexdataschool,yandexdataschool/dubna_dl,2015-12-07T09:07:19Z,0,0,Jupyter Notebook,True,True,
mig1023,mig1023/pseudoneural,2018-12-01T11:56:44Z,18,18,C++,False,False,
coffinxp,coffinxp/corsExploit,2024-08-03T12:10:11Z,32,32,HTML,True,True,
klen,klen/bottle-rauth,2014-12-22T19:53:45Z,0,0,Python,True,True,mit
AlariCode,AlariCode/nest,2018-06-04T18:11:54Z,0,0,TypeScript,True,True,mit
barancev,barancev/selenium-documentation-in-russian,2011-12-28T12:08:14Z,3,3,,True,True,
f213,f213/ca,2012-03-31T08:56:13Z,0,0,PHP,True,True,mit
demidovakatya,demidovakatya/scifi-gen,2015-10-10T22:34:44Z,0,0,HTML,True,False,
farag2,farag2/Windows-8.1-Setup-Script,2018-10-17T11:14:35Z,19,19,PowerShell,False,False,mit
4n70w4,4n70w4/gopenator,2018-04-10T16:27:19Z,4,4,Go,True,True,
iksergey,iksergey/article-tree,2023-04-07T00:51:38Z,1,1,C#,True,True,
milabs,milabs/perl-file-queue,2012-04-19T20:18:24Z,0,0,Perl,True,True,
netology-code,netology-code/pnet-homeworks,2021-12-09T10:34:05Z,0,0,,True,True,
stek29,stek29/Helium,2017-05-04T15:20:25Z,18,18,Swift,False,False,mit
ivanpopelyshev,ivanpopelyshev/bombermine-tiles-demo,2013-06-08T13:37:51Z,3,3,Java,True,True,
chip-red-pill,chip-red-pill/glm-ucode,2020-05-19T09:50:19Z,277,277,,True,True,
bdemeshev,bdemeshev/em611,2017-09-20T22:13:50Z,1,1,TeX,True,True,
KANKOSHEV,KANKOSHEV/windows,2021-06-16T08:18:29Z,0,0,,True,True,
Nekotekina,Nekotekina/A256,2014-05-02T09:53:40Z,0,0,C,True,True,
tazjin,tazjin/k8s-elk-demo,2015-11-11T13:31:37Z,5,5,Nginx,True,True,other
veged,veged/jquery.jsonrpc,2008-11-04T17:48:16Z,7,7,,True,True,
Irina-Smol,Irina-Smol/postgresSQL,2023-05-03T09:28:04Z,0,0,,True,True,
anna-dm,anna-dm/weblayout,2022-09-01T16:07:16Z,0,0,HTML,True,True,
nikita-volkov,nikita-volkov/hs-connection,2022-08-18T22:55:07Z,1,1,Haskell,True,True,other
SerafimArts,SerafimArts/jphp-audio-extension,2015-01-05T10:06:51Z,1,1,Java,True,True,
YaLTeR,YaLTeR/LiveSplit.BunnySplit,2015-04-18T19:52:45Z,6,6,C#,True,True,mit
maxlapshin,maxlapshin/orbit,2008-05-10T10:55:45Z,2,2,C,True,True,
ktaranov,ktaranov/vas3k.club,2021-05-13T09:08:35Z,3,3,Python,True,False,mit
Friend-LGA,Friend-LGA/LGActionSheet,2015-06-23T18:32:59Z,120,120,Objective-C,True,True,mit
aigoncharov,aigoncharov/raet,2017-03-05T11:43:29Z,0,0,Python,True,True,other
poma,poma/Vagrant-LAMP-Stack,2016-08-08T15:54:29Z,0,0,PHP,True,True,
catamphetamine,catamphetamine/ciscovod,2013-07-25T10:07:00Z,0,0,CoffeeScript,True,True,
VladimirBalun,VladimirBalun/OLSystem,2017-10-05T17:38:27Z,11,11,JavaScript,True,True,
unicfdlab,unicfdlab/TwoDaysBasicCourse,2016-01-04T14:34:58Z,5,5,C++,True,True,
jirfag,jirfag/node_pcap,2014-07-25T07:39:38Z,0,0,JavaScript,True,True,
webmakaka,webmakaka/cats-app-ansible,2019-03-10T09:24:56Z,1,1,Shell,True,True,
obenjiro,obenjiro/jsdom4browser,2013-11-04T08:44:02Z,2,2,JavaScript,True,True,mit
pauljamm,pauljamm/team-operator,2019-08-15T10:28:48Z,21,21,Dockerfile,True,True,
funny-falcon,funny-falcon/csiphash,2013-06-28T17:16:53Z,0,0,C,True,True,
archercreat,archercreat/rootkit.com,2020-07-05T19:34:15Z,0,0,,True,True,
mahenzon,mahenzon/TinyLogger,2017-10-07T09:22:21Z,0,0,Swift,True,True,bsd-3-clause
geffy,geffy/kaggle-malware,2015-05-05T20:53:19Z,90,90,Python,True,True,
Webzarium,Webzarium/muuvy-backend,2023-11-09T08:49:47Z,0,0,,True,True,
dreddsa5dies,dreddsa5dies/DataScienceContest,2016-10-28T12:46:45Z,1,1,Go,True,True,
